Src,Dst,Weight
0,1,0.31845103596456925
0,2,0.5512145529252186
0,3,0.22741585224191552
0,4,0.2669188689251851
0,5,0.47544947326394815
0,6,0.8862627361494558
0,7,0.16042605375040297
0,8,0.7459807864037868
0,10,0.5892903561029029
0,11,0.47815888753487035
0,12,0.782470682321906
0,13,0.4179567052866201
0,17,0.3685358669980614
0,19,0.9551929987199811
0,21,0.9613567741407174
0,31,0.726227171317607
1,0,0.6481096579934986
1,2,0.37891536859801955
1,3,0.24363852899322458
1,7,0.41483571945746534
1,13,0.6155209924586298
1,17,0.2680276146366586
1,19,0.11295441102477333
1,21,0.08552253827088485
1,30,0.5935657977437264
2,0,0.5362144558950368
2,1,0.5768112213837137
2,3,0.43712621359822357
2,7,0.13078796894587796
2,8,0.08022424811393303
2,9,0.14176452681346274
2,13,0.8180530705514824
2,27,0.8320016262502158
2,28,0.409540145234772
2,32,0.2642001276499689
3,0,0.04615295242576234
3,1,0.7049149713067023
3,2,0.8540307600498042
3,7,0.46208027528965967
3,12,0.6784210067516615
3,13,0.3301297641821943
4,0,0.8832405252248015
4,6,0.6669881098899139
4,10,0.9640899941433938
5,0,0.4268133485450748
5,6,0.8149795460997955
5,10,0.9267811195268474
5,16,0.565166945765339
6,0,0.026799684543950875
6,4,0.9402764505035385
6,5,0.6631523621900474
6,16,0.28025742709759016
7,0,0.9254762282755662
7,1,0.796690523489831
7,2,0.0979476899619427
7,3,0.7074291143964807
8,0,0.7761087565695074
8,2,0.3073975630293794
8,30,0.7605817165692309
8,32,0.04947830225770011
8,33,0.6309335405401543
9,2,0.17380258005907812
9,33,0.9785414932201859
10,0,0.7191944186343044
10,4,0.6595607436981878
10,5,0.5389153328170596
11,0,0.8284252928975201
12,0,0.08159504164928544
12,3,0.026621551124401566
13,0,0.37654143271899876
13,1,0.698648970574733
13,2,0.1974780964394499
13,3,0.45021972444903435
13,33,0.9722036402765037
14,32,0.009557409279240536
14,33,0.589593597849638
15,32,0.9878091453185213
15,33,0.056667558149276376
16,5,0.9045359763970754
16,6,0.16879835545426658
17,0,0.7730618928346192
17,1,0.612815141007156
18,32,0.4986886436717537
18,33,0.39903509029811446
19,0,0.08989463618875349
19,1,0.7528198786718245
19,33,0.8144615833348146
20,32,0.6850036047325682
20,33,0.10859338317785638
21,0,0.20571853793912853
21,1,0.8687748452451053
22,32,0.008113164327674838
22,33,0.36145242064640726
23,25,0.19801959093221744
23,27,0.7132375875281998
23,29,0.8363094707133548
23,32,0.28537615612136547
23,33,0.0772935150077827
24,25,0.26813609940254624
24,27,0.22638821516538454
24,31,0.642997701810025
25,23,0.14459300691102495
25,24,0.7946476714989169
25,31,0.7388561092944019
26,29,0.445934837683155
26,33,0.4916511327260056
27,2,0.9527176446503433
27,23,0.7422628198042871
27,24,0.23101654883380685
27,33,0.9550339587184191
28,2,0.3339314258188022
28,31,0.34149893586394486
28,33,0.8180157469491468
29,23,0.4771935478203284
29,26,0.12938838154434495
29,32,0.1215136458344257
29,33,0.019569167078249627
30,1,0.6393264342401126
30,8,0.6646644798466513
30,32,0.1479691524369151
30,33,0.6403112524880046
31,0,0.1394065169246964
31,24,0.134245083586921
31,25,0.6243484303605552
31,28,0.3482911865356624
31,32,0.23331307519961453
31,33,0.4593599814263031
32,2,0.8839177811841961
32,8,0.5539934876068489
32,14,0.41970743621036855
32,15,0.8168582822265494
32,18,0.30481639228312607
32,20,0.07279882286966943
32,22,0.3978619031804904
32,23,0.20690915689699585
32,29,0.2338575632865122
32,30,0.8955881108049515
32,31,0.7316583958942351
32,33,0.0033742797158278215
33,8,0.3631579670659171
33,9,0.5292689687034333
33,13,0.7535800037841369
33,14,0.6738394218089896
33,15,0.8140789052125266
33,18,0.8968652515555932
33,19,0.45952115221569223
33,20,0.6897437506770194
33,22,0.5883557598002018
33,23,0.004996264899124525
33,26,0.04515847947583995
33,27,0.8556199432433349
33,28,0.2664787836457956
33,29,0.2799011634702968
33,30,0.6521544693031561
33,31,0.8285364872414698
33,32,0.8426561777783549
